No.,Name of university,Date established,Location
1,Universiti Malaya (UM),1-1-1962,Kuala Lumpur
2,Universiti Sains Malaysia (USM),1969,Penang
3,Universiti Kebangsaan Malaysia (UKM),18-5-1970,Selangor
4,Universiti Putra Malaysia (UPM),4-10-1971,Selangor
5,Universiti Teknologi Malaysia (UTM),1-4-1975,Johor
6,Universiti Teknologi MARA (UiTM),26-8-1999,Selangor
7,Universiti Islam Antarabangsa Malaysia (UIAM),10-5-1983,Selangor
8,Universiti Utara Malaysia (UUM),16-2-1984,Kedah
9,Universiti Malaysia Sarawak (UNIMAS),24-12-1992,Sarawak
10,Universiti Malaysia Sabah (UMS),24-11-1994,Sabah
11,Universiti Pendidikan Sultan Idris (UPSI),24-2-1997,Perak
12,Universiti Sains Islam Malaysia (USIM),13-3-1998,Negeri Sembilan
13,Universiti Malaysia Terengganu (UMT),15-7-1999,Terengganu
14,Universiti Tun Hussein Onn Malaysia (UTHM),30-9-2000,Johor
15,Universiti Teknikal Malaysia Melaka (UTeM),1-12-2000,Melaka
16,Universiti Malaysia Pahang (UMP),16-2-2002,Pahang
17,Universiti Malaysia Perlis (UniMAP),2-5-2002,Perlis
18,Sultan Zainal Abidin (UniSZA),1-1-2006,Terengganu
19,Universiti Malaysia Kelantan (UMK),14-6-2006,Kelantan
20,"Universiti Pertahanan Nasional Malaysia, (UPNM)",10-11-2006,Kuala Lumpur
